iter	Logloss
0	0.6468075173
1	0.6118897525
2	0.5837767467
3	0.5651650218
4	0.5490745966
5	0.5364624853
6	0.5265735468
7	0.5185324002
8	0.5126101814
9	0.5063474506
10	0.5020832381
11	0.4982548639
12	0.4953072512
13	0.4930191728
14	0.4901966121
15	0.4886493013
16	0.4871863001
17	0.4856955445
18	0.4843751481
19	0.4833387715
20	0.4826007745
21	0.481615528
22	0.4807672195
23	0.4801452296
24	0.4792654017
25	0.4787873472
26	0.4780049561
27	0.4776917175
28	0.4772327524
29	0.4767884582
30	0.4764248141
31	0.4761174079
32	0.475621109
33	0.4753867203
34	0.4751830141
35	0.4749996807
36	0.4746988496
37	0.4743051334
38	0.4740523715
39	0.4738891493
40	0.4736400791
41	0.4734001426
42	0.4730827023
43	0.4728606265
44	0.4727247668
45	0.472570215
46	0.4723897358
47	0.4721005672
48	0.4718936358
49	0.4716885826
50	0.471419904
51	0.4712413944
52	0.47112729
53	0.4709983601
54	0.4708372233
55	0.4707180649
56	0.4705091296
57	0.4704241941
58	0.4703009818
59	0.4701104851
60	0.4700269414
61	0.4698877217
62	0.4697884932
63	0.4696178513
64	0.4695086507
65	0.4694112915
66	0.4693100231
67	0.4691685109
68	0.4690303408
69	0.4689588859
70	0.4688420444
71	0.4687726145
72	0.4686546757
73	0.468546335
74	0.4683984551
75	0.468307823
76	0.4682049055
77	0.4680872413
78	0.467946511
79	0.4677852313
80	0.4676035342
81	0.4674637005
82	0.4673622658
83	0.4672283265
84	0.4671742252
85	0.4670769826
86	0.4669850784
87	0.4668698823
88	0.4668074296
89	0.4667545377
90	0.4665694839
91	0.4664747155
92	0.4663963663
93	0.4662222977
94	0.4661534478
95	0.4660956641
96	0.4660526851
97	0.4660023863
98	0.4658498145
99	0.4657847371
100	0.4657323534
101	0.4656625927
102	0.4655933926
103	0.4655306101
104	0.4654594507
105	0.4653528185
106	0.4652918633
107	0.4652083505
108	0.4651084028
109	0.4650269855
110	0.4648655898
111	0.4647826363
112	0.4647001104
113	0.4646345006
114	0.4645106935
115	0.4644391598
116	0.4643701247
117	0.4642134042
118	0.4641509858
119	0.4640501128
120	0.4639810621
121	0.4638434777
122	0.463771606
123	0.4636798346
124	0.4635511153
125	0.4634782669
126	0.4634208207
127	0.4633598283
128	0.4632734564
129	0.4631941456
130	0.463094615
131	0.463040644
132	0.4629583464
133	0.4628876157
134	0.4627973861
135	0.4627222738
136	0.4626233103
137	0.4625152243
138	0.4624282036
139	0.4623648847
140	0.4622382328
141	0.4621646747
142	0.4620713291
143	0.4619314268
144	0.4618621964
145	0.4617712875
146	0.4616604181
147	0.4615848719
148	0.4614710159
149	0.4613614952
150	0.4612715108
151	0.4611729149
152	0.4610690714
153	0.4610032411
154	0.4608888804
155	0.4607924304
156	0.4607085699
157	0.4606372842
158	0.4605779893
159	0.4605092898
160	0.4604010298
161	0.4603274583
162	0.4602307323
163	0.4601658443
164	0.4600693388
165	0.4599745491
166	0.4599060158
167	0.4598240837
168	0.4597505453
169	0.4596911554
170	0.4595841311
171	0.4595056774
172	0.4594460314
173	0.4593732302
174	0.4592956924
175	0.4592353567
176	0.4591417093
177	0.4590621899
178	0.4589640091
179	0.458890287
180	0.4588279039
181	0.4587551386
182	0.4586968905
183	0.4586506607
184	0.4585475164
185	0.4584761994
186	0.45839611
187	0.4583350122
188	0.4582458564
189	0.4581729413
190	0.4581041241
191	0.4580363692
192	0.4579707525
193	0.4579050953
194	0.4578331326
195	0.4577863788
196	0.457709407
197	0.4576322724
198	0.4575669226
199	0.4574837108
200	0.457421092
201	0.4573604203
202	0.457295698
203	0.4572376574
204	0.4571653122
205	0.4571025263
206	0.4570571184
207	0.4569963067
208	0.4569481424
209	0.4568844999
210	0.456832153
211	0.4567623375
212	0.4566874777
213	0.4566213191
214	0.4565592332
215	0.4564968499
216	0.4564293677
217	0.4563665279
218	0.4562920363
219	0.4562113329
220	0.4561621332
221	0.4560870454
222	0.4560344136
223	0.4559995021
224	0.455944608
225	0.4558786525
226	0.4557642736
227	0.455694776
228	0.455609344
229	0.4555481017
230	0.4554557335
231	0.4554073893
232	0.4552927823
233	0.455234344
234	0.4551654156
235	0.455109575
236	0.4550531476
237	0.4550105446
238	0.4549403511
239	0.4548825694
