iter	Passed	Remaining
0	163	163551
1	183	91713
2	202	67189
3	220	54949
4	239	47707
5	257	42733
6	276	39225
7	295	36673
8	315	34685
9	332	32948
10	350	31550
11	372	30638
12	390	29627
13	408	28741
14	426	28030
15	445	27378
16	467	27041
17	485	26475
18	502	25953
19	522	25579
20	539	25167
21	557	24775
22	574	24382
23	591	24055
24	609	23756
25	631	23644
26	649	23423
27	669	23231
28	687	23018
29	704	22765
30	723	22626
31	743	22479
32	760	22270
33	778	22129
34	795	21945
35	815	21834
36	833	21706
37	852	21570
38	871	21472
39	890	21378
40	910	21287
41	929	21200
42	948	21111
43	966	21005
44	985	20922
45	1005	20844
46	1023	20756
47	1041	20651
48	1060	20577
49	1078	20498
50	1097	20415
51	1116	20351
52	1133	20253
53	1155	20244
54	1177	20227
55	1196	20166
56	1215	20107
57	1233	20040
58	1250	19951
59	1271	19920
60	1291	19880
61	1310	19832
62	1327	19749
63	1345	19674
64	1361	19587
65	1379	19525
66	1398	19474
67	1415	19406
68	1433	19339
69	1450	19275
70	1474	19294
71	1499	19322
72	1519	19301
73	1540	19273
74	1558	19216
75	1576	19165
76	1595	19130
77	1612	19061
78	1633	19042
79	1654	19022
80	1675	19010
81	1695	18976
82	1715	18957
83	1734	18912
84	1754	18892
85	1773	18846
86	1792	18812
87	1810	18758
88	1830	18734
89	1850	18712
90	1869	18670
91	1889	18649
92	1910	18627
93	1929	18601
94	1949	18567
95	1965	18511
96	1982	18458
97	1999	18403
98	2018	18371
99	2035	18320
100	2054	18285
101	2074	18263
102	2092	18224
103	2112	18197
104	2129	18147
105	2148	18121
106	2169	18105
107	2188	18072
108	2208	18055
109	2228	18032
110	2245	17984
111	2265	17963
112	2283	17925
113	2304	17906
114	2324	17887
115	2344	17867
116	2364	17848
117	2384	17825
118	2403	17792
119	2421	17757
120	2438	17717
121	2457	17688
122	2474	17643
123	2493	17618
124	2513	17597
125	2532	17567
126	2551	17539
127	2571	17516
128	2592	17501
129	2610	17471
130	2630	17449
131	2649	17423
132	2671	17414
133	2695	17419
134	2716	17403
135	2736	17387
136	2756	17364
137	2776	17344
138	2796	17321
139	2816	17299
140	2835	17274
141	2854	17248
142	2874	17225
143	2893	17198
144	2912	17175
145	2932	17151
146	2951	17128
147	2970	17102
148	2990	17078
149	3009	17055
150	3029	17031
151	3048	17004
152	3067	16982
153	3086	16955
154	3105	16930
155	3125	16912
156	3145	16887
157	3168	16886
158	3189	16868
159	3210	16854
160	3229	16832
161	3250	16814
162	3270	16795
163	3290	16772
164	3309	16747
165	3329	16725
166	3348	16702
167	3367	16676
168	3386	16653
169	3406	16633
170	3426	16611
171	3447	16597
172	3467	16577
173	3488	16559
174	3507	16536
175	3527	16515
176	3547	16493
177	3566	16469
178	3586	16450
179	3607	16435
180	3627	16413
181	3646	16388
182	3667	16371
183	3686	16350
184	3706	16329
185	3725	16305
186	3745	16282
187	3763	16256
188	3783	16235
189	3803	16212
190	3822	16191
191	3842	16171
192	3862	16152
193	3882	16130
194	3902	16111
195	3922	16088
196	3940	16063
197	3960	16042
198	3981	16024
199	4003	16012
200	4025	15999
201	4045	15983
202	4064	15958
203	4084	15937
204	4104	15916
205	4123	15894
206	4146	15885
207	4167	15868
208	4186	15845
209	4207	15827
210	4229	15816
211	4250	15798
212	4269	15776
213	4290	15757
214	4310	15737
215	4329	15715
216	4348	15691
217	4368	15668
218	4387	15646
219	4407	15625
220	4425	15600
221	4445	15580
222	4465	15558
223	4484	15536
224	4504	15514
225	4523	15491
226	4542	15467
227	4561	15445
228	4582	15428
229	4603	15410
230	4622	15388
231	4644	15373
232	4665	15356
233	4684	15335
234	4704	15314
235	4724	15294
236	4744	15273
237	4764	15253
238	4783	15231
239	4803	15211
240	4822	15188
241	4842	15168
242	4862	15148
243	4884	15133
244	4903	15111
245	4923	15092
246	4943	15070
247	4963	15050
248	4983	15029
249	5003	15009
250	5022	14986
251	5042	14966
252	5062	14946
253	5081	14925
254	5102	14908
255	5122	14887
256	5141	14864
257	5161	14844
258	5184	14832
259	5203	14811
260	5223	14791
261	5243	14770
262	5263	14749
263	5282	14727
264	5302	14707
265	5321	14685
266	5341	14665
267	5362	14645
268	5380	14621
269	5400	14602
270	5420	14580
271	5440	14560
272	5459	14537
273	5479	14519
274	5499	14497
275	5518	14475
276	5537	14453
277	5557	14432
278	5576	14411
279	5597	14392
280	5616	14371
281	5637	14353
282	5657	14333
283	5676	14311
284	5698	14297
285	5717	14274
286	5736	14252
287	5756	14231
288	5775	14208
289	5794	14186
290	5813	14164
291	5833	14143
292	5852	14121
293	5868	14093
294	5888	14071
295	5908	14052
296	5927	14029
297	5947	14011
298	5967	13990
